x_val,y_val,data_channel
104,47,176
104,48,135
104,49,101
104,50,212
104,51,161
104,52,138
104,53,177
104,54,0
104,55,145
104,56,73
104,57,40
105,0,166
105,1,109
105,2,0
105,3,73
105,4,171
105,5,117
105,6,101
105,7,107
105,8,133
105,9,125
105,10,117
105,11,107
105,12,0
105,13,0
105,14,184
105,15,151
105,16,35
105,17,109
105,18,184
105,19,195
105,20,144
105,21,133
105,22,192
105,23,113
105,24,190
105,25,109
105,26,64
105,27,161
105,28,103
105,29,117
105,30,70
105,31,125
105,32,161
105,33,158
105,34,40
105,35,207
105,36,61
105,37,192
105,38,125
105,39,204
105,40,89
105,41,0
105,42,179
105,43,244
105,44,133
105,45,125
105,46,94
105,47,107
105,48,0
105,49,0
105,50,224
105,51,199
105,52,164
105,53,166
105,54,0
105,55,140
105,56,89
105,57,0
106,0,241
106,1,199
106,2,121
106,3,101
106,4,166
106,5,129
106,6,103
106,7,40
106,8,64
106,9,158
106,10,179
106,11,147
106,12,144
106,13,166
106,14,195
106,15,35
106,16,76
106,17,76
106,18,109
106,19,147
106,20,190
106,21,107
106,22,195
106,23,0
106,24,164
106,25,107
106,26,133
106,27,171
106,28,166
106,29,113
106,30,0
106,31,103
106,32,127
106,33,129
106,34,147
106,35,225
106,36,101
106,37,151
106,38,172
106,39,140
106,40,0
106,41,61
106,42,176
106,43,193
106,44,156
106,45,176
106,46,117
106,47,192
106,48,0
106,49,158
106,50,230
106,51,135
106,52,133
106,53,195
106,54,125
106,55,145
106,56,0
106,57,133
107,0,207
107,1,246
107,2,0
107,3,129
107,4,127
107,5,0
107,6,70
107,7,70
107,8,64
107,9,117
107,10,76
107,11,156
107,12,144
107,13,121
107,14,144
107,15,169
107,16,86
107,17,156
107,18,158
107,19,0
107,20,254
107,21,164
107,22,243
107,23,109
107,24,127
107,25,117
107,26,127
107,27,199
107,28,145
107,29,45
107,30,121
107,31,129
107,32,89
107,33,176
107,34,70
107,35,255
107,36,177
107,37,127
107,38,210
107,39,199
107,40,86
107,41,0
107,42,115
107,43,207
107,44,182
107,45,129
107,46,113
107,47,121
107,48,135
107,49,129
107,50,218
107,51,161
107,52,0
107,53,127
107,54,125
107,55,103
107,56,133
107,57,121
108,0,233
108,1,216
108,2,45
108,3,101
108,4,129
108,5,138
108,6,176
108,7,94
108,8,147
108,9,107
108,10,0
108,11,81
108,12,152
108,13,107
108,14,76
108,15,138
108,16,0
108,17,166
108,18,171
108,19,166
108,20,228
108,21,172
108,22,195
108,23,107
108,24,109
108,25,107
108,26,94
108,27,171
108,28,135
108,29,109
108,30,35
108,31,198
108,32,151
108,33,138
108,34,158
108,35,237
108,36,169
108,37,140
108,38,171
108,39,192
108,40,96
108,41,109
108,42,127
108,43,129
108,44,64
108,45,140
108,46,0
108,47,96
108,48,0
108,49,109
108,50,228
108,51,70
108,52,135
108,53,169
108,54,156
108,55,109
108,56,0
108,57,179
109,0,238
109,1,237
109,2,113
109,3,177
109,4,140
109,5,151
109,6,96
109,7,129
109,8,164
109,9,117
109,10,76
109,11,145
109,12,94
109,13,156
109,14,161
109,15,144
109,16,0
109,17,176
109,18,151
109,19,138
109,20,193
109,21,0
109,22,215
109,23,161
109,24,129
109,25,166
109,26,107
109,27,121
109,28,140
109,29,0
109,30,0
109,31,185
109,32,101
109,33,0
109,34,140
109,35,199
109,36,193
109,37,201
109,38,227
109,39,0
109,40,109
109,41,0
109,42,161
109,43,243
109,44,177
109,45,184
109,46,0
109,47,145
109,48,103
109,49,185
109,50,233
109,51,127
109,52,169
109,53,0
109,54,129
109,55,135
109,56,70
109,57,0
110,0,237
110,1,234
110,2,152
110,3,0
110,4,213
110,5,89
110,6,64
110,7,147
110,8,177
110,9,177
110,10,94
110,11,145
110,12,177
110,13,164
110,14,171
110,15,190
110,16,96
110,17,185
110,18,0
110,19,164
110,20,207
110,21,145
110,22,184
110,23,187
110,24,152
110,25,138
110,26,86
110,27,161
110,28,0
110,29,0
110,30,21
110,31,45
110,32,0
110,33,169
110,34,0
110,35,182
110,36,185
110,37,101
110,38,158
110,39,151
110,40,0
110,41,70
110,42,195
110,43,70
110,44,127
110,45,117
110,46,115
