,x_val,y_val,data_channel
0,7,244,104.0
1,7,249,107.0
2,7,256,94.0
3,8,219,87.0
4,8,244,96.0
5,8,249,100.0
6,8,871,86.0
7,8,953,86.0
8,9,213,95.0
9,9,244,89.0
10,9,249,95.0
11,9,298,103.0
12,9,633,95.0
13,9,642,87.0
14,9,650,86.0
15,9,956,86.0
16,10,111,86.0
17,10,156,92.0
18,10,219,95.0
19,10,244,92.0
20,10,249,98.0
21,10,281,87.0
22,10,298,89.0
23,10,304,101.0
24,10,345,107.0
25,10,385,86.0
26,10,398,107.0
27,10,422,86.0
28,10,442,86.0
29,10,467,96.0
30,10,498,86.0
31,10,595,87.0
32,10,604,90.0
33,10,610,86.0
34,10,631,89.0
35,10,671,87.0
36,10,677,92.0
37,10,706,86.0
38,10,882,87.0
39,10,904,90.0
40,10,907,92.0
41,10,929,87.0
42,10,934,94.0
43,10,935,92.0
44,10,968,92.0
45,10,997,96.0
46,10,999,104.0
47,11,106,86.0
48,11,117,92.0
49,11,129,89.0
50,11,219,98.0
51,11,238,92.0
52,11,244,119.0
53,11,246,103.0
54,11,290,95.0
55,11,298,92.0
56,11,316,92.0
57,11,398,103.0
58,11,467,119.0
59,11,469,92.0
60,11,475,90.0
61,11,498,110.0
62,11,508,87.0
63,11,521,86.0
64,11,595,103.0
65,11,631,103.0
66,11,651,96.0
67,11,677,86.0
68,11,714,96.0
69,11,904,87.0
70,11,915,89.0
71,11,923,94.0
72,11,929,104.0
73,11,932,86.0
74,11,934,92.0
75,11,935,90.0
76,11,944,95.0
77,11,983,89.0
78,11,997,110.0
79,11,1024,86.0
80,12,131,86.0
81,12,133,86.0
82,12,146,94.0
83,12,153,90.0
84,12,161,95.0
85,12,176,109.0
86,12,189,95.0
87,12,190,86.0
88,12,210,89.0
89,12,213,132.0
90,12,238,96.0
91,12,244,123.0
92,12,246,86.0
93,12,253,101.0
94,12,264,92.0
95,12,320,86.0
96,12,328,101.0
97,12,383,100.0
98,12,422,90.0
99,12,445,87.0
