x_val,y_val,data_channel
1,87,86
82,36,220
35,12,123
74,3,128
52,117,110
0,144,84
110,52,135
52,55,84
74,37,92
23,58,217
85,65,115
20,2,84
57,8,123
32,28,107
79,50,123
7,74,116
42,69,127
6,143,100
29,123,105
24,54,219
64,57,84
17,45,104
45,111,119
2,135,84
27,78,84
99,140,116
62,111,125
92,83,139
9,146,84
109,145,138
9,5,105
86,75,138
74,80,145
58,105,147
10,132,84
12,68,121
64,80,84
18,5,98
0,15,84
83,29,84
78,87,94
93,19,181
68,55,84
8,122,163
66,64,127
7,10,112
95,29,149
108,83,84
64,23,87
23,24,95
111,111,84
103,25,84
73,31,119
64,32,213
81,54,141
105,99,121
11,51,84
74,39,92
49,3,86
27,43,101
1,95,192
9,40,179
100,122,132
8,30,157
39,76,119
35,91,144
32,55,107
64,65,103
92,65,110
67,145,103
67,71,84
110,96,168
3,17,100
27,63,89
4,123,86
42,5,128
18,96,100
50,100,89
7,31,95
86,92,115
65,144,103
88,135,84
67,75,121
26,37,84
89,80,125
45,53,84
81,28,171
51,128,86
98,42,191
111,52,157
1,121,95
76,26,150
109,120,103
111,108,84
107,0,115
72,0,121
105,13,84
52,44,132
111,108,84
33,95,128
14,106,129
67,32,212
101,3,109
95,118,134
53,18,112
100,25,137
68,2,156
101,94,170
110,79,154
70,56,84
48,79,138
102,141,116
92,97,128
0,20,103
44,117,104
13,109,104
12,100,107
20,122,103
111,139,167
43,97,87
53,53,123
58,13,98
22,47,109
3,61,110
55,7,96
33,122,84
14,117,119
77,80,115
52,100,119
25,18,94
11,113,110
4,104,87
13,55,84
103,3,139
89,135,112
58,58,211
98,31,132
41,97,84
83,81,147
15,47,187
10,5,100
106,96,137
37,106,109
82,52,144
36,26,187
107,81,122
103,66,141
78,22,90
30,69,121
93,95,123
89,65,95
73,78,115
34,136,84
109,50,131
57,9,89
101,110,131
84,78,132
90,128,121
111,65,119
104,0,95
38,92,109
103,65,127
49,85,123
36,3,103
63,5,105
14,20,101
64,15,116
11,66,134
58,83,134
73,102,105
57,147,112
101,127,144
72,28,168
84,146,131
40,115,100
16,131,109
80,147,105
87,99,139
49,147,84
89,17,121
109,109,90
72,0,121
81,4,84
105,8,101
24,20,116
56,49,131
95,58,201
73,117,152
44,90,127
39,13,84
15,68,109
90,40,84
4,98,84
41,10,84
92,38,208
10,47,162
95,29,149
31,132,87
34,139,196
29,128,135
77,138,87
53,27,129
24,53,122
98,6,123
23,48,107
68,8,150
105,28,134
82,70,121
86,126,127
103,67,116
107,32,206
111,99,103
78,129,86
81,0,107
20,42,127
48,21,90
40,125,112
10,100,84
76,53,135
100,11,134
50,100,89
30,32,202
32,87,105
58,31,129
21,7,112
37,104,90
33,94,96
60,118,84
66,51,122
77,121,104
72,1,123
87,108,119
52,57,134
36,100,96
4,9,84
31,47,149
71,70,107
27,68,113
54,28,137
59,2,147
102,111,84
7,52,167
94,43,84
90,75,134
8,16,174
112,125,131
16,134,84
