x_val,y_val,data_channel
16,37,147
3,43,153
17,8,89
14,9,98
43,11,107
45,15,112
15,0,92
2,16,98
2,1,131
43,45,128
39,60,110
18,50,129
20,20,104
19,62,107
5,37,144
46,18,119
39,20,112
46,11,131
3,60,107
10,28,87
38,14,135
8,50,128
41,4,137
51,23,98
47,41,193
11,49,84
23,55,119
29,32,115
17,22,98
34,13,212
31,41,202
16,7,116
4,63,84
44,61,84
20,57,216
40,1,147
30,0,84
4,60,84
35,17,142
20,8,84
11,24,94
41,51,137
6,47,156
9,57,219
39,8,96
8,30,119
17,7,123
22,3,87
23,6,118
20,57,216
8,3,96
47,4,84
44,24,84
7,49,104
48,43,208
25,12,94
48,26,84
28,52,135
21,16,112
41,45,95
13,51,105
20,41,185
0,15,125
49,0,98
35,4,84
0,25,147
23,23,115
30,7,116
20,26,132
25,40,218
16,22,95
28,9,113
47,39,166
17,62,122
20,23,129
2,27,110
46,37,208
4,57,218
41,19,84
50,38,84
10,8,127
20,32,135
26,15,113
43,47,147
49,23,86
3,51,84
21,28,131
41,10,137
18,62,112
14,32,149
27,24,84
18,23,131
10,55,128
21,1,118
21,49,84
29,13,170
28,3,101
46,0,113
19,61,101
7,13,180
28,6,84
8,52,87
7,21,113
23,6,118
24,2,128
25,12,94
34,21,109
11,11,84
36,7,104
33,13,213
43,8,134
17,11,142
16,43,112
8,20,90
24,36,127
13,39,158
28,7,150
15,4,84
40,57,191
35,18,139
1,32,96
4,13,170
48,10,157
36,23,131
45,17,92
30,7,116
13,57,203
2,24,103
27,10,168
38,32,104
50,12,118
51,1,123
9,30,142
7,41,128
2,24,103
13,51,105
13,33,134
34,2,128
27,28,138
41,39,127
29,34,171
4,10,161
29,32,115
39,41,207
29,18,100
39,22,113
51,6,103
43,2,138
5,7,122
34,48,84
24,54,86
48,15,84
46,5,110
22,17,87
34,42,84
0,20,101
41,54,101
30,48,109
36,22,100
39,37,219
31,49,109
41,50,104
9,33,153
26,53,218
29,20,84
48,10,157
49,32,109
2,55,96
36,61,94
6,21,84
51,39,101
49,32,109
7,57,176
16,25,156
23,49,84
14,14,84
34,13,212
51,20,96
12,43,132
27,13,193
10,56,87
30,59,131
46,15,87
24,24,84
15,59,144
50,9,119
7,2,84
35,7,105
38,36,153
13,37,176
43,56,147
32,21,90
1,13,161
35,27,135
42,49,84
37,49,112
20,47,144
23,13,208
