x_val,y_val,data_channel
53,46,144
53,47,183
53,48,135
53,49,112
53,50,163
53,51,172
53,52,127
53,53,179
53,54,181
53,55,179
53,56,180
53,57,161
53,58,181
53,59,170
53,60,104
53,61,178
53,62,90
53,63,185
53,64,154
53,65,90
53,66,101
53,67,158
53,68,178
53,69,160
53,70,194
53,71,129
53,72,153
53,73,186
53,74,178
53,75,147
54,0,176
54,1,174
54,2,150
54,3,166
54,4,181
54,5,167
54,6,179
54,7,165
54,8,154
54,9,135
54,10,171
54,11,156
54,12,154
54,13,170
54,14,191
54,15,181
54,16,172
54,17,149
54,18,163
54,19,182
54,20,191
54,21,158
54,22,196
54,23,162
54,24,160
54,25,179
54,26,145
54,27,179
54,28,134
54,29,163
54,30,183
54,31,161
54,32,168
54,33,192
54,34,188
54,35,160
54,36,188
54,37,84
54,38,118
54,39,168
54,40,189
54,41,84
54,42,110
54,43,179
54,44,165
54,45,179
54,46,129
54,47,185
54,48,166
54,49,157
54,50,183
54,51,183
54,52,157
54,53,142
54,54,188
54,55,174
54,56,176
54,57,122
54,58,150
54,59,168
54,60,180
54,61,180
54,62,110
54,63,188
54,64,104
54,65,107
54,66,153
54,67,147
54,68,193
54,69,150
54,70,189
54,71,174
54,72,131
54,73,176
54,74,183
54,75,156
55,0,192
55,1,156
55,2,163
55,3,165
55,4,150
55,5,193
55,6,174
55,7,158
55,8,167
55,9,129
55,10,163
55,11,161
55,12,134
55,13,166
55,14,137
55,15,162
55,16,139
55,17,139
55,18,139
55,19,158
55,20,195
55,21,183
55,22,162
55,23,186
55,24,128
55,25,183
55,26,89
55,27,171
55,28,163
55,29,183
55,30,206
55,31,182
55,32,188
55,33,176
55,34,150
55,35,171
55,36,188
55,37,129
55,38,84
55,39,154
55,40,185
55,41,147
55,42,122
55,43,172
55,44,172
55,45,167
55,46,150
55,47,147
55,48,168
55,49,168
55,50,154
55,51,171
55,52,135
55,53,168
55,54,131
55,55,172
55,56,157
55,57,172
55,58,174
55,59,185
55,60,176
55,61,147
55,62,176
55,63,166
55,64,162
55,65,162
55,66,182
55,67,174
55,68,188
55,69,157
55,70,186
55,71,160
55,72,168
55,73,170
