,x_val,y_val,data_channel
128037,51,537,255.0
491755,245,981,104.0
491263,245,203,255.0
836489,426,1154,98.0
73349,29,849,255.0
1166159,585,307,255.0
413825,203,1568,86.0
925255,470,1072,112.0
1215878,607,2428,255.0
1070334,540,499,142.0
575956,290,1198,96.0
1506187,732,1114,150.0
401660,197,1168,128.0
806378,411,736,87.0
365212,177,1370,89.0
188317,75,817,255.0
1005966,509,1744,110.0
1342679,663,2292,255.0
745431,380,1747,115.0
412649,202,2455,255.0
148209,59,709,255.0
296022,118,1022,255.0
645097,327,1689,101.0
2096521,971,1238,255.0
99335,39,1835,255.0
117565,47,65,255.0
1772033,840,1234,215.0
323900,146,191,255.0
194769,77,2269,255.0
357640,173,106,255.0
2155224,994,2441,255.0
914041,464,2365,255.0
1254471,625,1108,112.0
898435,457,691,138.0
1225219,612,597,131.0
2022340,941,2057,255.0
369137,179,2127,255.0
478234,238,213,255.0
1844560,869,1498,201.0
619817,313,2312,255.0
28114,11,614,255.0
2059328,956,1545,255.0
510148,255,654,94.0
732527,373,2455,255.0
931287,473,984,86.0
1910663,896,2083,255.0
523929,262,1902,255.0
2098198,972,415,255.0
1685257,805,1454,153.0
2014915,938,2132,255.0
214142,85,1642,255.0
1502589,730,2431,255.0
626020,317,706,95.0
1654939,793,783,154.0
535123,268,2017,255.0
1254688,625,1353,109.0
438026,216,1363,109.0
1555735,752,2207,255.0
1738383,826,2426,255.0
2071639,961,1356,255.0
1048819,530,193,255.0
2065756,959,473,255.0
1882698,884,2253,255.0
1017022,514,2359,255.0
1053847,532,1191,112.0
275825,110,825,255.0
501507,250,1718,121.0
638968,324,588,109.0
1820422,859,2301,255.0
1364437,673,266,255.0
1033670,522,2221,255.0
1766914,838,1095,203.0
1111628,559,1551,100.0
2166747,999,1464,255.0
1344203,664,1430,138.0
350471,169,610,95.0
927268,471,1067,147.0
1454951,711,574,132.0
1353479,668,1279,156.0
470768,234,291,255.0
606304,306,1859,100.0
1769741,839,1434,209.0
1453066,710,1111,139.0
2119959,980,2176,255.0
1238919,618,1096,131.0
1818776,859,650,203.0
1140426,573,120,255.0
1703572,812,2408,255.0
371104,180,2317,255.0
1625228,781,663,181.0
1532510,743,793,153.0
2072124,961,1841,255.0
1527122,741,214,255.0
267123,106,2123,255.0
2096620,971,1337,255.0
1161831,583,277,255.0
1136480,571,513,171.0
1849833,871,1783,217.0
965314,489,2417,255.0
254279,101,1779,255.0
475111,236,1160,116.0
1878192,883,224,255.0
1194885,598,1156,100.0
2031636,945,1353,255.0
940310,477,2020,255.0
858597,437,1416,96.0
249741,99,2241,255.0
1426017,699,262,255.0
1345364,665,149,255.0
842848,429,1732,118.0
1917111,899,1031,255.0
2006745,935,1462,255.0
1084647,546,2410,255.0
1999353,932,1570,255.0
1791001,848,280,255.0
1908340,895,2260,255.0
1868472,879,478,193.0
742936,379,877,113.0
2044923,950,2140,255.0
1319362,654,87,255.0
1063111,536,2202,255.0
1732405,824,1419,199.0
1498437,729,674,125.0
191784,76,1784,255.0
503885,251,2300,255.0
1344973,664,2258,255.0
376232,183,2011,255.0
1005101,509,547,121.0
643728,326,2237,255.0
962460,488,1494,95.0
2075950,963,667,255.0
397725,195,709,115.0
2125887,983,604,255.0
1995297,931,14,255.0
710100,362,894,96.0
652883,331,2227,255.0
1119280,563,468,127.0
220448,88,448,255.0
336125,158,1982,95.0
1491996,726,1607,147.0
78046,31,546,255.0
1072458,541,496,118.0
1693283,808,2044,255.0
310304,131,305,255.0
530004,265,2455,255.0
506829,253,1257,98.0
422450,208,273,255.0
629929,319,1091,100.0
115520,46,520,255.0
1778801,843,534,152.0
2059242,956,1459,255.0
1989396,928,1604,255.0
992527,503,406,107.0
722590,368,2219,255.0
1600398,771,458,154.0
2086139,967,856,255.0
502426,251,212,255.0
1009899,511,1326,135.0
1306710,648,1326,144.0
172423,68,2423,255.0
1260259,628,42,255.0
916533,466,296,209.0
640431,325,78,255.0
1101924,555,176,255.0
1337120,661,1346,147.0
1903043,893,1948,255.0
92389,36,2389,255.0
72935,29,435,255.0
1717125,818,1054,92.0
2113393,978,610,255.0
877655,447,49,255.0
1438410,704,779,144.0
1109662,558,1803,103.0
717124,365,2462,255.0
933052,474,544,122.0
1838580,867,506,200.0
1235150,616,1960,189.0
1024145,518,859,94.0
1164455,584,900,153.0
1852579,872,2038,255.0
170442,68,442,255.0
915149,465,1194,153.0
412902,203,208,255.0
559344,281,1837,98.0
78896,31,1396,255.0
288044,115,544,255.0
321718,143,2400,255.0
1498368,729,598,138.0
1770999,840,197,255.0
1100560,554,1109,100.0
14089,5,1589,255.0
1053296,532,489,104.0
1283123,638,270,255.0
2029706,944,1923,255.0
1184068,593,1152,137.0
2075918,963,635,255.0
1576469,761,970,171.0
1423534,698,135,255.0
1201283,601,882,137.0
227768,91,268,255.0
179408,71,1908,255.0
2044470,950,1687,255.0
645703,327,2386,255.0
1698318,810,2125,255.0
53965,21,1465,255.0
1654927,793,771,141.0
816949,416,1595,94.0
1543098,747,1713,160.0
1718747,819,188,255.0
913932,464,2256,255.0
1479032,721,697,132.0
1597338,769,2345,255.0
547783,275,1388,123.0
365271,177,1461,92.0
1515943,736,1142,138.0
1696381,810,158,255.0
1346603,665,1508,135.0
74534,29,2034,255.0
173659,69,1159,255.0
1631045,783,1548,156.0
862625,439,1458,90.0
1591467,767,1355,196.0
1734042,825,564,178.0
1782456,844,1700,197.0
138825,55,1325,255.0
628020,318,1007,110.0
590425,298,262,255.0
848897,432,1900,255.0
43346,17,846,255.0
973951,494,383,92.0
397280,195,82,255.0
1194855,598,1125,129.0
33856,13,1356,255.0
1918102,899,2022,255.0
510562,255,1273,131.0
1204294,602,1803,116.0
1925772,902,2357,255.0
82237,32,2237,255.0
2050829,953,546,255.0
576676,290,2208,255.0
354780,171,1173,105.0
1333929,660,424,96.0
1788662,847,435,199.0
1225066,612,414,113.0
851851,434,453,89.0
1065065,537,2051,255.0
1167396,585,1909,255.0
1537168,745,601,154.0
5278,2,278,255.0
1726676,822,666,188.0
1417145,695,903,147.0
844579,430,1318,119.0
126377,50,1377,255.0
647381,328,2253,255.0
960605,487,1811,94.0
961700,488,474,90.0
2116379,979,1096,255.0
1677640,802,1267,214.0
629276,319,124,255.0
145026,58,26,255.0
1804003,853,825,206.0
1047417,529,1055,105.0
93476,37,976,255.0
1446930,707,2228,255.0
856289,436,1062,128.0
1448870,708,1722,107.0
592371,299,369,96.0
951854,483,1127,113.0
1784025,845,777,100.0
1894914,889,2172,255.0
1145954,575,1698,209.0
482746,240,1393,110.0
1795754,850,47,255.0
4890,1,2390,255.0
1339624,662,1520,137.0
727004,371,263,255.0
757285,386,1762,122.0
285673,114,673,255.0
505069,252,1374,86.0
1407464,691,639,127.0
1987818,928,19,255.0
1005462,509,1048,142.0
600160,303,920,104.0
495959,247,1760,138.0
1296587,644,150,255.0
68128,27,628,255.0
1776305,842,530,174.0
1742714,828,1781,176.0
1592982,768,390,134.0
1732038,824,1052,220.0
957330,486,171,255.0
1404389,689,2398,255.0
1962548,917,2186,255.0
1926758,903,863,255.0
1615346,777,628,95.0
2141561,989,1278,255.0
1065479,537,2465,255.0
1672861,800,1429,189.0
1697550,810,1344,170.0
2029928,944,2145,255.0
1439912,704,2350,255.0
754396,385,460,131.0
680640,346,1929,255.0
357114,172,2080,255.0
1913354,897,2274,255.0
1849321,871,1271,196.0
1471435,718,268,255.0
1245226,621,649,147.0
1140310,573,4,255.0
1957812,915,2450,255.0
1238841,618,1003,138.0
1212728,606,1320,109.0
1712122,816,1018,146.0
1187528,595,147,255.0
300848,120,2439,255.0
530933,266,1260,127.0
801555,408,2230,255.0
1270093,632,922,112.0
469776,233,1745,100.0
1516406,736,1625,123.0
2036379,947,1096,255.0
1149764,577,1086,116.0
1738426,826,2469,255.0
996482,505,234,255.0
1436492,703,1270,125.0
1408317,691,1564,90.0
58767,23,1267,255.0
278346,111,846,255.0
61371,24,1371,255.0
690015,351,1974,191.0
1586784,765,1556,144.0
1926076,903,161,255.0
600351,303,1184,107.0
2086635,967,1352,255.0
617240,312,1380,103.0
1555390,752,1859,132.0
1523233,739,1182,122.0
157700,63,200,255.0
1706535,814,391,154.0
326818,149,267,255.0
1009826,511,1242,95.0
479274,238,1880,255.0
699090,356,1349,104.0
474982,236,1003,116.0
1903654,894,59,255.0
1683578,804,2262,255.0
1988305,928,506,255.0
233221,93,721,255.0
1002726,508,191,255.0
1681627,804,277,255.0
1710581,815,1972,121.0
1216709,608,865,86.0
719365,367,277,255.0
1197518,599,1747,121.0
1002277,507,2242,255.0
2007374,935,2091,255.0
1973793,922,941,255.0
131246,52,1246,255.0
1019651,516,468,113.0
1905462,894,1879,255.0
1027425,519,2246,255.0
1836991,866,1409,211.0
795875,406,103,255.0
1379612,679,1186,116.0
951744,483,994,139.0
562597,283,953,107.0
971741,493,235,255.0
740316,377,2498,255.0
87092,34,2092,255.0
252298,100,2298,255.0
2076576,963,1293,255.0
614463,311,66,255.0
1015419,514,381,137.0
1026205,519,759,119.0
562680,283,1058,86.0
542262,272,1631,104.0
1426615,699,896,141.0
178522,71,1022,255.0
1266620,630,2101,255.0
1158289,581,1160,112.0
688199,350,2054,255.0
2139015,988,1232,255.0
1503416,731,785,147.0
2121267,981,984,255.0
1780640,843,2379,255.0
1955390,915,28,255.0
1951328,913,966,255.0
1157662,581,330,139.0
740502,378,184,255.0
1009925,511,1358,116.0
1200223,600,2224,255.0
1240425,619,252,255.0
197997,79,497,255.0
1592342,767,2247,255.0
588178,296,2389,255.0
1960157,916,2295,255.0
1126418,566,1303,152.0
388401,190,339,118.0
673235,342,2056,255.0
287097,114,2097,255.0
2025645,943,362,255.0
1714923,817,1334,196.0
1209267,604,2418,255.0
1932487,905,1754,255.0
1073564,541,1954,255.0
414491,203,2390,255.0
1730347,823,1854,209.0
677455,345,33,255.0
74566,29,2066,255.0
1216856,608,1030,141.0
2020581,941,298,255.0
304577,125,32,255.0
1800797,852,108,255.0
982954,498,1387,105.0
568982,286,2067,255.0
1634472,785,18,255.0
1963920,918,1058,255.0
637201,323,725,135.0
265067,106,67,255.0
248408,99,908,255.0
1656038,793,1911,255.0
282864,113,364,255.0
9159,3,1659,255.0
1124852,565,2046,255.0
1424410,698,1066,115.0
1368992,675,0,255.0
1197400,599,1584,105.0
260597,104,597,255.0
1888034,887,110,255.0
1371075,675,2203,255.0
1789616,847,1391,215.0
1041554,526,1608,115.0
1101153,554,1903,255.0
1683833,805,17,255.0
144204,57,1704,255.0
1593924,768,1348,162.0
1370285,675,1360,142.0
1842368,868,1801,211.0
1029209,520,1974,219.0
209448,83,1948,255.0
873223,444,2121,255.0
1671943,800,497,153.0
962806,488,1982,220.0
1586746,765,1515,134.0
1876231,882,758,194.0
1368226,674,1724,147.0
1457541,712,787,158.0
1501117,730,922,153.0
1780914,844,153,255.0
