,x_val,y_val,data_channel
128037,239,500,103.0
267336,402,395,157.0
312201,446,835,125.0
371403,501,554,188.0
73349,160,651,115.0
117583,225,684,131.0
21440,68,407,98.0
229520,361,443,116.0
413825,539,885,218.0
400967,528,233,199.0
293372,428,461,132.0
167302,288,873,98.0
21758,68,1043,87.0
176485,299,756,112.0
166802,288,198,103.0
51668,122,855,98.0
401660,528,927,208.0
282090,417,215,135.0
365212,495,993,218.0
188317,313,260,156.0
246322,380,375,156.0
92740,190,800,105.0
294103,429,143,142.0
221143,351,1083,116.0
412649,538,818,210.0
148209,265,9,123.0
26103,76,743,132.0
175582,298,709,168.0
296022,431,26,109.0
366733,497,300,179.0
120809,229,1050,113.0
99335,200,312,98.0
299327,434,262,150.0
117565,225,657,121.0
265750,400,801,100.0
369977,500,230,152.0
199169,325,821,129.0
128896,240,637,115.0
323900,457,1067,118.0
194769,320,766,139.0
357640,489,27,200.0
58072,134,241,101.0
131503,243,938,104.0
167914,289,576,113.0
389753,518,93,190.0
344606,477,156,163.0
205895,333,856,123.0
374147,503,1092,183.0
99782,200,1015,156.0
16277,60,94,100.0
192049,317,593,115.0
361785,492,880,134.0
176643,299,950,152.0
338712,471,820,132.0
369137,499,495,174.0
130091,242,85,94.0
132916,245,781,134.0
271696,406,969,160.0
95529,194,864,115.0
28114,80,279,103.0
393231,521,252,203.0
143385,258,1070,86.0
208239,336,773,132.0
384738,513,616,170.0
406999,533,716,176.0
337799,470,1001,152.0
328986,462,835,174.0
75368,164,0,86.0
1046,32,71,90.0
112393,218,632,119.0
150503,267,924,116.0
214142,343,915,127.0
238871,372,120,139.0
101732,203,721,96.0
82075,174,814,186.0
342949,475,693,191.0
20793,67,206,104.0
10835,51,706,127.0
344712,477,262,172.0
206112,334,55,129.0
187810,312,701,127.0
165519,286,734,105.0
76527,165,984,125.0
